ASTM Material,C,Mn,Si,P,S,Cr,Mo,Ni,N,Ti,Nb ,Al,Fe balance (%),Temperature,Behavior,Pitting_label,[H+] (mol/dm3),[OH-] (mol/dm3),[Cl-] (mol/dm3),[S2-] (mol/dm3)
316LN,0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.045,20,Resistant,1,0.984,0,0.984,0
317L,0.03,2,0.75,0.045,0.03,18,3,11,0.1,0,0,0,65.045,20,Resistant,1,0.984,0,0.984,0
317LN,0.03,2,0.75,0.045,0.03,18,3,11,0.1,0,0,0,65.045,20,Resistant,1,0.984,0,0.984,0
329,0.08,1,0.75,0.04,0.03,23,1,2,0,0,0,0,72.1,20,Resistant,1,0.984,0,0.984,0
S31803,0.03,2,1,0.03,0.02,21,2.5,4.5,0.08,0,0,0,68.84,20,Resistant,1,0.984,0,0.984,0
316Ti,0.08,2,0.75,0.045,0.03,16,2,10,0.1,0.9,0,0,68.095,20,Resistant,1,0.984,0,0.984,0
316Cb,0.08,2,0.75,0.045,0.03,16,2,10,0.1,0,0.8,0,68.195,20,Resistant,1,0.984,0,0.984,0
403,0.15,1,0.5,0.04,0.03,11.5,0,0.6,0,0,0,0,86.18,20,Poor,1,2.95,0,2.95,0
405,0.08,1,1,0.04,0.03,11.5,0,0.6,0,0,0,0.1,85.65,20,Poor,1,2.95,0,2.95,0
S41050,0.04,1,1,0.045,0.03,10.5,0,0.6,0.1,0,0,0,86.685,20,Poor,1,2.95,0,2.95,0
416,0.15,1.25,1,0.06,0.35,12,0,0,0,0,0,0,85.19,20,Poor,1,2.95,0,2.95,0
410,0.15,1,1,0.04,0.03,11.5,0,0.75,0,0,0,0,85.53,20,Poor,1,2.95,0,2.95,0
420,0.15,1,1,0.04,0.03,12,0.5,0.75,0,0,0,0,84.53,20,Poor,1,2.95,0,2.95,0
430F,0.12,1.3,1,0.06,0.35,16,0,0,0,0,0,0,81.17,20,Poor,1,2.95,0,2.95,0
440C,1.2,1,1,0.04,0.03,16,0.75,0,0,0,0,0,79.98,20,Poor,1,2.95,0,2.95,0
S41500,0.05,1,0.6,0.03,0.03,11.5,0.5,3.5,0,0,0,0,82.79,20,Poor,1,2.95,0,2.95,0
409,0.03,1,1,0.04,0.02,11.5,0,0.5,0.03,0.36,0.17,0,85.35,20,Poor,1,2.95,0,2.95,0
430,0.12,1,1,0.04,0.03,16,0,0.75,0,0,0,0,81.06,20,Good,1,2.95,0,2.95,0
431,0.2,1,1,0.04,0.03,15,0,1.25,0,0,0,0,81.48,20,Good,1,2.95,0,2.95,0
303,0.15,2,1,0.2,0.35,17,0,8,0,0,0,0,71.3,20,Good,1,2.95,0,2.95,0
441,0.03,1,1,0.04,0.03,17.5,0,1,0.03,0.1,0.3,0,78.97,20,Good,1,2.95,0,2.95,0
434,0.12,1,1,0.04,0.03,16,0.75,0,0,0,0,0,81.06,20,Resistant,1,2.95,0,2.95,0
630,0.07,1,1,0.04,0.03,15,0,3,0,0,0.15,0,79.71,20,Resistant,1,2.95,0,2.95,0
631,0.09,1,1,0.04,0.03,16,0,6.5,0,0,0,0.75,74.59,20,Resistant,1,2.95,0,2.95,0
304,0.08,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,70.995,20,Resistant,1,2.95,0,2.95,0
305,0.12,2,0.75,0.045,0.03,17,0,10.5,0,0,0,0,69.555,20,Resistant,1,2.95,0,2.95,0
304L,0.03,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.045,20,Resistant,1,2.95,0,2.95,0
301,0.15,2,1,0.045,0.03,16,0,6,0.1,0,0,0,74.675,20,Resistant,1,2.95,0,2.95,0
304LN,0.03,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,71.045,20,Resistant,1,2.95,0,2.95,0
304N,0.08,2,0.75,0.045,0.03,18,0,8,0.1,0,0,0,70.995,20,Resistant,1,2.95,0,2.95,0
321,0.08,2,0.75,0.045,0.03,17,0,9,0.1,0.9,0,0,70.095,20,Resistant,1,2.95,0,2.95,0
347,0.08,2,0.75,0.045,0.03,17,0,9,0,0,0.8,0,70.295,20,Resistant,1,2.95,0,2.95,0
316,0.08,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,68.995,20,Resistant,1,2.95,0,2.95,0
316L,0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.045,20,Resistant,1,2.95,0,2.95,0
316LN,0.03,2,0.75,0.045,0.03,16,2,10,0.1,0,0,0,69.045,20,Resistant,1,2.95,0,2.95,0
317L,0.03,2,0.75,0.045,0.03,18,3,11,0.1,0,0,0,65.045,20,Resistant,1,2.95,0,2.95,0
317LN,0.03,2,0.75,0.045,0.03,18,3,11,0.1,0,0,0,65.045,20,Resistant,1,2.95,0,2.95,0
329,0.08,1,0.75,0.04,0.03,23,1,2,0,0,0,0,72.1,20,Resistant,1,2.95,0,2.95,0
S31803,0.03,2,1,0.03,0.02,21,2.5,4.5,0.08,0,0,0,68.84,20,Resistant,1,2.95,0,2.95,0
316Ti,0.08,2,0.75,0.045,0.03,16,2,10,0.1,0.9,0,0,68.095,20,Resistant,1,2.95,0,2.95,0
316Cb,0.08,2,0.75,0.045,0.03,16,2,10,0.1,0,0.8,0,68.195,20,Resistant,1,2.95,0,2.95,0
